ticker,peak_date,trough_date,recovery_date,depth,total_days
IWM,2007-07-09,2009-03-09,2011-04-27,-0.5989414619683975,1388.0
SPY,2007-10-09,2009-03-09,2013-01-25,-0.5647328750103537,1935.0
QQQ,2007-10-31,2008-11-20,2010-12-10,-0.5340204840498401,1136.0
TLT,2020-08-04,2023-10-19,,-0.48350660933693634,
GLD,2011-08-22,2015-12-17,2020-07-29,-0.4555501381439948,3264.0
IWM,2018-08-31,2020-03-23,2020-11-09,-0.41132380087851295,801.0
QQQ,2021-11-19,2022-11-03,2023-12-13,-0.35119666881826583,754.0
SPY,2020-02-19,2020-03-23,2020-08-10,-0.33715385820778576,173.0
IWM,2021-11-08,2023-10-27,2024-11-11,-0.3226687377862404,1099.0
GLD,2008-03-17,2008-11-12,2009-09-16,-0.29414137339921353,548.0
IWM,2011-04-29,2011-10-03,2012-09-13,-0.2891094869870685,503.0
QQQ,2020-02-19,2020-03-16,2020-06-03,-0.2855553859239711,105.0
TLT,2008-12-19,2010-04-05,2011-09-22,-0.2847040693264885,1007.0
IWM,2024-11-25,2025-04-08,2025-09-18,-0.27879537953795386,297.0
SPY,2022-01-03,2022-10-12,2023-12-13,-0.2449545088557996,709.0
QQQ,2018-08-29,2018-12-24,2019-04-12,-0.22799679280511798,226.0
QQQ,2025-02-19,2025-04-08,2025-06-24,-0.22768355184633116,125.0
GLD,2020-08-06,2022-09-26,2024-03-04,-0.22002166176698124,1306.0
GLD,2006-05-12,2006-06-14,2007-09-18,-0.21794150731158612,494.0
TLT,2012-07-25,2013-08-21,2014-12-10,-0.20497951371870027,868.0
SPY,2018-09-20,2018-12-24,2019-04-12,-0.19351436257194576,204.0
SPY,2025-02-19,2025-04-08,2025-06-26,-0.18755277437767137,127.0
TLT,2016-07-08,2016-12-14,2019-07-02,-0.17858312248846553,1089.0
TLT,2015-01-30,2015-06-26,2016-06-09,-0.1578434795738296,496.0
GLD,2009-12-02,2010-02-08,2010-05-11,-0.1270347373720423,160.0
